Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Flag,Net_Revenue,Order_Segment
ORD1000,CUST202,Beauty,Credit Card,1167.26,20,3,3,4.0,No,Tier 1,0,On-Time,Regular Order,933.808,Loyal & Satisfied
ORD1001,CUST279,Electronics,Cash on Delivery,3381.32,20,6,6,4.0,No,Tier 1,0,On-Time,Regular Order,2705.0560000000005,Loyal & Satisfied
ORD1002,CUST192,Home & Kitchen,Debit Card,416.68,5,7,8,4.0,Yes,Tier 1,1,Minor Delay,Regular Order,395.846,Standard Order
ORD1003,CUST114,Fashion,Debit Card,792.9,15,7,6,1.0,No,Tier 1,-1,Early,Regular Order,673.9649999999999,Standard Order
ORD1004,CUST206,Beauty,Cash on Delivery,1770.58,0,5,7,4.0,No,Tier 1,2,Minor Delay,Regular Order,1770.58,Loyal & Satisfied
ORD1005,CUST171,Books,UPI,2767.12,0,7,6,4.0,No,Tier 1,-1,Early,Regular Order,2767.12,Loyal & Satisfied
ORD1006,CUST288,Books,UPI,1533.83,0,4,4,4.0,No,Tier 2,0,On-Time,Regular Order,1533.83,Loyal & Satisfied
ORD1007,CUST120,Fashion,Debit Card,558.37,10,6,8,4.0,No,Tier 3,2,Minor Delay,Regular Order,502.533,Standard Order
ORD1008,CUST202,Fashion,UPI,1547.27,10,3,3,2.0,No,Tier 1,0,On-Time,Regular Order,1392.5430000000001,Standard Order
ORD1009,CUST221,Fashion,UPI,622.41,10,7,7,4.0,Yes,Tier 2,0,On-Time,Regular Order,560.169,Standard Order
ORD1010,CUST310,Electronics,Cash on Delivery,1720.85,10,6,6,2.0,No,Tier 2,0,On-Time,Regular Order,1548.7649999999999,Standard Order
ORD1011,CUST314,Beauty,UPI,3895.8,5,7,9,5.0,No,Tier 1,2,Minor Delay,High-Value Order,3701.01,Loyal & Satisfied
ORD1012,CUST174,Books,Cash on Delivery,1733.55,15,2,2,4.0,No,Tier 3,0,On-Time,Regular Order,1473.5175,Loyal & Satisfied
ORD1013,CUST302,Beauty,Debit Card,2584.28,20,3,5,2.0,No,Tier 2,2,Minor Delay,Regular Order,2067.4240000000004,Standard Order
ORD1014,CUST187,Beauty,UPI,202.53,0,2,1,4.0,No,Tier 1,-1,Early,Regular Order,202.53,Standard Order
ORD1015,CUST216,Home & Kitchen,Cash on Delivery,1717.2,5,3,4,4.0,No,Tier 2,1,Minor Delay,Regular Order,1631.34,Loyal & Satisfied
ORD1016,CUST199,Books,Debit Card,2323.44,15,6,8,1.0,Yes,Tier 1,2,Minor Delay,Regular Order,1974.924,Standard Order
ORD1017,CUST203,Beauty,UPI,249.69,5,5,5,4.0,No,Tier 2,0,On-Time,Regular Order,237.2055,Standard Order
ORD1018,CUST251,Books,Cash on Delivery,2663.1,15,7,7,3.0,No,Tier 1,0,On-Time,Regular Order,2263.6349999999998,Standard Order
ORD1019,CUST230,Electronics,UPI,555.98,5,7,7,5.0,No,Tier 3,0,On-Time,Regular Order,528.181,Standard Order
ORD1020,CUST249,Fashion,UPI,1513.4,5,4,5,5.0,No,Tier 1,1,Minor Delay,Regular Order,1437.73,Loyal & Satisfied
ORD1021,CUST152,Electronics,Credit Card,2133.46,0,2,2,4.0,No,Tier 2,0,On-Time,Regular Order,2133.46,Loyal & Satisfied
ORD1022,CUST101,Beauty,UPI,1504.01,5,7,8,4.0,No,Tier 1,1,Minor Delay,Regular Order,1428.8094999999998,Loyal & Satisfied
ORD1023,CUST187,Home & Kitchen,Cash on Delivery,316.19,15,6,6,4.0,No,Tier 2,0,On-Time,Regular Order,268.7615,Standard Order
ORD1024,CUST335,Electronics,UPI,1288.56,10,5,5,4.0,No,Tier 2,0,On-Time,Regular Order,1159.704,Loyal & Satisfied
ORD1025,CUST257,Home & Kitchen,Credit Card,1157.1,20,6,5,2.0,No,Tier 2,-1,Early,Regular Order,925.68,Standard Order
ORD1026,CUST137,Home & Kitchen,Debit Card,2966.96,30,2,2,4.0,Yes,Tier 2,0,On-Time,Regular Order,2076.872,High-Risk Transaction
ORD1027,CUST229,Fashion,Cash on Delivery,821.5,10,4,4,4.0,No,Tier 2,0,On-Time,Regular Order,739.35,Standard Order
ORD1028,CUST291,Electronics,UPI,664.7,20,7,9,2.0,No,Tier 3,2,Minor Delay,Regular Order,531.7600000000001,Standard Order
ORD1029,CUST287,Home & Kitchen,UPI,1862.84,5,6,7,3.0,No,Tier 2,1,Minor Delay,Regular Order,1769.6979999999999,Standard Order
ORD1030,CUST120,Fashion,Credit Card,838.61,10,3,3,5.0,No,Tier 3,0,On-Time,Regular Order,754.749,Standard Order
ORD1031,CUST260,Books,UPI,1446.48,15,5,9,5.0,No,Tier 3,4,Severe Delay,Regular Order,1229.508,Loyal & Satisfied
ORD1032,CUST303,Fashion,UPI,1447.68,5,6,7,2.0,No,Tier 1,1,Minor Delay,Regular Order,1375.296,Standard Order
ORD1033,CUST157,Beauty,UPI,2827.53,10,5,9,2.0,No,Tier 1,4,Severe Delay,Regular Order,2544.777,Standard Order
ORD1034,CUST121,Home & Kitchen,Cash on Delivery,1295.63,0,7,7,3.0,No,Tier 1,0,On-Time,Regular Order,1295.63,Standard Order
ORD1035,CUST335,Home & Kitchen,Cash on Delivery,1036.96,10,3,3,5.0,Yes,Tier 3,0,On-Time,Regular Order,933.264,Standard Order
ORD1036,CUST188,Beauty,Cash on Delivery,379.41,30,4,3,2.0,No,Tier 1,-1,Early,Regular Order,265.587,Standard Order
ORD1037,CUST148,Fashion,Credit Card,347.6,30,4,5,4.0,No,Tier 2,1,Minor Delay,Regular Order,243.32,Standard Order
ORD1038,CUST318,Electronics,Cash on Delivery,401.14,15,3,2,2.0,Yes,Tier 3,-1,Early,Regular Order,340.969,Standard Order
ORD1039,CUST158,Electronics,UPI,426.27,15,5,5,4.0,No,Tier 1,0,On-Time,Regular Order,362.3295,Standard Order
ORD1040,CUST269,Books,UPI,1418.93,10,7,7,3.0,No,Tier 2,0,On-Time,Regular Order,1277.037,Standard Order
ORD1041,CUST319,Home & Kitchen,Debit Card,1821.03,10,6,6,4.0,No,Tier 1,0,On-Time,Regular Order,1638.927,Loyal & Satisfied
ORD1042,CUST287,Home & Kitchen,UPI,1106.01,0,3,4,3.0,No,Tier 1,1,Minor Delay,Regular Order,1106.01,Standard Order
ORD1043,CUST307,Electronics,UPI,2319.43,10,2,2,4.0,No,Tier 2,0,On-Time,Regular Order,2087.487,Loyal & Satisfied
